Manufacturer,Category,Screen_Size,RAM,GPU,Weight,Screen_resolution,IPS_Panel,Retina_Display,Touchscreen,Quad_HD_plus,GHz,Intel,AMD,Storage_Size,Storage_Size2,Storage_Type,Storage_Type2,os,Weight_KG,Price
Dell,Notebook,15.6,4,Intel HD Graphics 520,2.3kg,1366x768,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.3,111676.2
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,1.35kg,1440x900,0,0,0,0,1.6,1,0,128GB,NaN,Flash Storage,NaN,Mac OS - X,1.35,293169.0
Dell,Notebook,15.6,8,AMD Radeon 530,2.2kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,213408.0
Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,1.88kg,1920x1080,0,0,0,0,1.9,1,0,256GB,256GB,SSD ,SSD,Windows - 10,1.88,34625.4
HP,Notebook,17.3,8,Nvidia GeForce 930MX,2.5kg,1920x1080,0,0,0,0,1.6,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.5,239016.9
Chuwi,Notebook,15.6,4,Intel HD Graphics,1.89kg,1920x1080,0,0,0,0,1.44,1,0,64GB,NaN,Flash Storage,NaN,Windows - 10,1.89,65353.5
Asus,Notebook,14.0,2,AMD Radeon R2,1.65kg,1366x768,0,0,0,0,1.5,0,1,32GB,NaN,Flash Storage,NaN,Windows - 10,1.65,53085.0
HP,Notebook,17.3,4,AMD Radeon 530,2.71kg,1920x1080,0,0,0,0,2.5,0,1,500GB,NaN,HDD,NaN,Windows - 10,2.71,117107.4
Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,1.2kg,3200x1800,0,0,1,1,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.2,49857.299999999996
Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,1.35kg,1440x900,0,0,0,0,1.6,1,0,256GB,NaN,Flash Storage,NaN,Mac OS - X,1.35,266226.3
Lenovo,Notebook,14.0,4,Intel HD Graphics 500,1.44kg,1366x768,0,0,0,0,1.1,1,0,64GB,NaN,Flash Storage,NaN,Windows - 10,1.44,66423.0
Acer,Notebook,15.6,4,Intel HD Graphics 620,2.1kg,1366x768,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Linux,2.1,97900.8
Dell,Notebook,17.3,8,AMD Radeon 530,2.8kg,1920x1080,1,0,0,0,1.6,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.8,261157.8
HP,Notebook,15.6,4,Intel HD Graphics 620,1.86kg,1366x768,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,1.86,130362.9
HP,Notebook,15.6,8,Nvidia GeForce 930MX ,2.1kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.1,234481.8
Asus,Notebook,15.6,4,Intel HD Graphics 620,2kg,1920x1080,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Linux,2.0,103769.4
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,2.65kg,1920x1080,1,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.65,39987.299999999996
Asus,Notebook,15.6,8,Nvidia GeForce 940MX,2.3kg,1366x768,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Linux,2.3,139512.6
Acer,Notebook,15.6,4,Intel UHD Graphics 620,2.2kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,181930.19999999998
Dell,2 in 1 Convertible,17.3,12,Nvidia GeForce 150MX,2.77kg,1920x1080,0,0,1,0,1.6,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.77,266493.0
Apple,Ultrabook,13.3,8,Intel Iris Graphics 540,1.37kg,2560x1600,1,1,0,0,2.0,1,0,256GB,NaN,SSD,NaN,macOS,1.37,37853.1
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,2.2kg,1366x768,0,0,0,0,2.0,1,0,128GB,NaN,SSD,NaN,No OS,2.2,98434.2
Asus,Gaming,17.3,8,AMD Radeon RX 580,3.2kg,1920x1080,0,0,0,0,3.0,0,1,256GB,1TB,SSD ,HDD,Windows - 10,3.2,34652.1
Dell,Notebook,15.6,4,AMD Radeon R5 M430,2.3kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.3,170459.4
Asus,Notebook,17.3,4,Nvidia GeForce 920MX,2.8kg,1366x768,0,0,0,0,1.1,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.8,124310.09999999999
Lenovo,2 in 1 Convertible,10.1,4,Intel HD Graphics 400,0.69kg,1920x1200,1,0,1,0,1.44,1,0,64GB,NaN,Flash Storage,NaN,Android,0.69,85096.2
Acer,Notebook,15.6,8,Nvidia GeForce MX150,2.2kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,224345.1
HP,Notebook,15.6,4,AMD Radeon R4 Graphics,1.86kg,1920x1080,0,0,0,0,2.5,0,1,256GB,NaN,SSD,NaN,Windows - 10,1.86,106301.09999999999
HP,Notebook,13.3,8,Intel UHD Graphics 620,1.49kg,1920x1080,0,0,0,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.49,294236.1
Acer,Notebook,15.6,4,Intel HD Graphics 620,2.4kg,1366x768,0,0,0,0,2.4,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.4,102435.59999999999
Dell,Notebook,15.6,8,AMD Radeon 520,2.13kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.13,204818.1
HP,Notebook,15.6,4,Intel HD Graphics 520,1.91kg,1920x1080,0,0,0,0,2.0,1,0,128GB,NaN,SSD,NaN,Windows - 10,1.91,117107.4
Asus,Notebook,15.6,4,Intel HD Graphics 620,2kg,1366x768,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.0,156372.0
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,2.43kg,1920x1080,0,0,0,0,2.8,1,0,256GB,2TB,SSD ,HDD,Windows - 10,2.43,65329.5
Asus,Notebook,15.6,4,Intel HD Graphics 520,2kg,1920x1080,0,0,0,0,2.0,1,0,256GB,NaN,SSD,NaN,Linux,2.0,110705.4
Dell,Notebook,17.3,16,AMD Radeon 530,2.8kg,1920x1080,0,0,0,0,1.8,1,0,256GB,2TB,SSD ,HDD,Windows - 10,2.8,34652.1
Dell,Ultrabook,14.0,8,Intel UHD Graphics 620,1.7kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.7,234481.8
Lenovo,Notebook,14.0,8,Intel HD Graphics 620,1.7kg,1920x1080,1,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,No OS,1.7,159789.0
Asus,Notebook,14.0,8,Intel UHD Graphics 620,1.4kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.4,251021.09999999998
HP,Notebook,15.6,8,Intel HD Graphics 620,1.86kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.86,184064.4
Asus,Ultrabook,15.6,16,Nvidia GeForce GTX 1050 Ti,1.8kg,1920x1080,0,0,0,0,2.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.8,52898.4
HP,Notebook,15.6,4,AMD Radeon 520,1.86kg,1366x768,0,0,0,0,2.0,1,0,500GB,NaN,HDD,NaN,Windows - 10,1.86,117024.9
HP,Notebook,14.0,4,Intel HD Graphics 400,1.44kg,1366x768,0,0,0,0,1.6,1,0,32GB,NaN,SSD,NaN,Windows - 10,1.44,61087.799999999996
Lenovo,Notebook,15.6,4,Intel HD Graphics 620,1.9kg,1920x1080,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,1.9,146451.0
Asus,Gaming,17.3,12,Nvidia GeForce GTX 1050 Ti,3kg,1920x1080,0,0,0,0,2.8,1,0,1TB,NaN,HDD,NaN,Linux,3.0,253155.0
Microsoft,Ultrabook,13.5,4,Intel HD Graphics 620,1.252kg,2256x1504,0,0,1,0,2.5,1,0,128GB,NaN,SSD,NaN,Windows - 10 S,1.252,290501.39999999997
Dell,Ultrabook,13.3,8,AMD Radeon 530,1.4kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.4,254755.8
Dell,Notebook,15.6,8,AMD Radeon 530,2.2kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,232081.19999999998
MSI,Gaming,17.3,8,Nvidia GeForce GTX 1050,2.7kg,1920x1080,0,0,0,0,2.5,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.7,292102.2
Acer,Notebook,14.0,8,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.1,103769.4
Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.2kg,1920x1080,0,0,0,0,2.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.2,253155.0
Lenovo,Notebook,15.6,8,Intel HD Graphics 620,2.2kg,1920x1080,0,0,0,0,2.5,1,0,2TB,NaN,HDD,NaN,No OS,2.2,138448.19999999998
Dell,Notebook,15.6,8,Intel UHD Graphics 620,2.02kg,1920x1080,0,0,0,0,1.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.02,228079.8
Acer,Notebook,15.6,4,Nvidia GeForce MX130,2.2kg,1920x1080,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.2,141382.8
HP,Notebook,17.3,8,Nvidia GeForce 930MX,2.5kg,1920x1080,0,0,0,0,1.6,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.5,260624.4
Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,1.88kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.88,292411.5
Apple,Ultrabook,12.0,8,Intel HD Graphics 615,0.92kg,2304x1440,1,1,0,0,1.3,1,0,512GB,NaN,SSD,NaN,macOS,0.92,40280.7
HP,Notebook,14.0,8,Intel HD Graphics 620,1.63kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.63,229413.6
Lenovo,Notebook,15.6,4,AMD R4 Graphics,2.2kg,1920x1080,0,0,0,0,2.5,0,1,128GB,NaN,SSD,NaN,Windows - 10,2.2,106437.0
Acer,Notebook,15.6,4,AMD Radeon R5,2.1kg,1366x768,0,0,0,0,3.0,0,1,1TB,NaN,HDD,NaN,Windows - 10,2.1,105370.2
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,2.65kg,1920x1080,1,0,0,0,2.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.65,35985.9
HP,Ultrabook,15.6,8,Nvidia GeForce GTX 940MX,1.83kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.83,186465.0
HP,Notebook,15.6,8,Intel HD Graphics 620,1.96kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.96,159786.3
Asus,Gaming,15.6,16,Nvidia GeForce GTX 1060,2.2kg,1920x1080,1,0,0,0,2.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.2,38653.5
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.21kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.21,43988.7
Asus,Gaming,15.6,8,AMD Radeon RX 560,2.45kg,1920x1080,0,0,0,0,3.0,0,1,1TB,NaN,HDD,NaN,Windows - 10,2.45,186465.0
Acer,Notebook,15.6,8,Nvidia GeForce MX150,2.2kg,1920x1080,0,0,0,0,1.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.2,183797.4
HP,Notebook,13.3,16,Intel UHD Graphics 620,1.49kg,1920x1080,0,0,0,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.49,31931.1
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1060,2.65kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.65,31877.699999999997
Asus,Ultrabook,14.0,8,Intel HD Graphics 620,1.25kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.25,279831.0
Acer,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,1.5kg,1920x1080,1,0,1,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.5,225945.6
Dell,Notebook,15.6,8,AMD Radeon R5 M430,2.2kg,1920x1080,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Linux,2.2,160029.3
Dell,Notebook,15.6,4,AMD Radeon R5 M430,2.2kg,1920x1080,0,0,0,0,2.0,1,0,256GB,NaN,SSD,NaN,Linux,2.2,129378.59999999999
Asus,Notebook,15.6,6,Nvidia GeForce 920M,2kg,1920x1080,0,0,0,0,2.4,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.0,153920.4
HP,Gaming,15.6,12,Nvidia GeForce GTX 1050,2.62kg,1920x1080,1,0,0,0,2.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.62,33318.299999999996
HP,Notebook,15.6,8,AMD Radeon 530,1.91kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.91,191800.19999999998
HP,Notebook,15.6,4,AMD Radeon R2,2.1kg,1920x1080,0,0,0,0,1.5,0,1,500GB,NaN,HDD,NaN,Windows - 10,2.1,93099.0
Dell,Notebook,15.6,8,AMD Radeon 520,2.2kg,1920x1080,0,0,0,0,1.6,1,0,1TB,NaN,HDD,NaN,Linux,2.2,172593.6
HP,Ultrabook,13.3,8,Nvidia GeForce MX150,1.38kg,1920x1080,1,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.38,298504.2
Microsoft,Ultrabook,13.5,8,Intel HD Graphics 620,1.252kg,2256x1504,0,0,1,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10 S,1.252,35745.6
HP,Notebook,14.0,6,Nvidia GeForce 940MX,1.58kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.58,175794.6
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,1.85kg,1920x1080,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,1.85,110678.7
Asus,Ultrabook,14.0,8,Nvidia GeForce 940MX,1.3kg,1920x1080,1,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.3,31824.3
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,2.2kg,1920x1080,0,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.2,34652.1
Lenovo,Notebook,14.0,8,Intel HD Graphics 620,1.58kg,1920x1080,1,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.58,39480.299999999996
Asus,Ultrabook,15.6,16,Nvidia GeForce MX150,1.5kg,1920x1080,0,0,0,0,1.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,1.5,33665.1
Dell,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,1.23kg,3200x1800,0,0,1,1,2.4,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.23,36786.0
Lenovo,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,1.37kg,1920x1080,1,0,1,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.37,37319.7
HP,Notebook,14.0,4,Intel UHD Graphics 620,1.63kg,1366x768,1,0,0,0,1.6,1,0,500GB,NaN,HDD,NaN,Windows - 10,1.63,192600.6
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.21kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.21,43455.0
HP,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,1.26kg,1920x1080,1,0,1,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.26,37319.4
HP,Notebook,14.0,8,Intel UHD Graphics 620,1.63kg,1920x1080,0,0,0,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.63,289167.6
Dell,Notebook,15.6,8,Nvidia GeForce 940MX,2.16kg,1920x1080,1,0,0,0,1.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.16,30152.399999999998
Asus,Notebook,17.3,4,Nvidia GeForce 920MX,2kg,1920x1080,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.0,150452.4
Asus,Notebook,15.6,8,Nvidia GeForce 940MX,1.7kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.7,298237.5
Acer,Notebook,15.6,6,Intel HD Graphics 620,2.1kg,1920x1080,1,0,1,0,2.4,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.1,127777.79999999999
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1070,1.8kg,1920x1080,0,0,0,0,2.8,1,0,256GB,2TB,SSD ,HDD,Windows - 10,1.8,59794.2
Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,2.2kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,No OS,2.2,167791.8
HP,Notebook,17.3,16,Nvidia GeForce 930MX ,2.5kg,1920x1080,0,0,0,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,2.5,33905.1
Acer,Notebook,15.6,4,AMD Radeon R5,2.1kg,1366x768,0,0,0,0,3.0,0,1,256GB,NaN,SSD,NaN,Windows - 10,2.1,120308.7
HP,Notebook,15.6,4,Intel HD Graphics 400,1.86kg,1366x768,0,0,0,0,1.6,1,0,500GB,NaN,HDD,NaN,No OS,1.86,69090.59999999999
HP,Notebook,14.0,8,Intel UHD Graphics 620,1.63kg,1920x1080,0,0,0,0,1.6,1,0,1TB,NaN,HDD,NaN,Windows - 10,1.63,216609.0
Asus,Notebook,14.0,4,AMD Radeon R2,1.65kg,1366x768,0,0,0,0,1.5,0,1,64GB,NaN,SSD,NaN,Windows - 10 S,1.65,74156.4
Dell,Notebook,17.3,16,AMD Radeon 530,2.8kg,1920x1080,0,0,0,0,1.8,1,0,256GB,2TB,SSD ,HDD,Windows - 10,2.8,37239.6
HP,Notebook,17.3,8,Intel UHD Graphics 620,2.5kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.5,247553.09999999998
Dell,Notebook,15.6,8,AMD Radeon R7 M445,2.36kg,1366x768,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.36,170456.69999999998
Dell,Notebook,15.6,4,AMD Radeon R5 M430,2.2kg,1920x1080,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.2,119775.0
Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,1.6kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.6,235815.6
Acer,Notebook,15.6,4,Nvidia GeForce MX130,2.2kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,152586.6
HP,Notebook,15.6,8,Intel HD Graphics 620,2.05kg,1366x768,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.05,159522.3
HP,Notebook,14.0,8,Intel UHD Graphics 620,1.63kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.63,263558.7
Lenovo,Notebook,15.6,4,Intel HD Graphics 500,1.9kg,1366x768,0,0,0,0,1.1,1,0,1TB,NaN,HDD,NaN,No OS,1.9,67319.4
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,3kg,1920x1080,0,0,0,0,2.5,1,0,128GB,1TB,SSD ,HDD,Windows - 10,3.0,250220.69999999998
Lenovo,Notebook,15.6,4,Nvidia GeForce 920MX,2.2kg,1920x1080,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,No OS,2.2,133113.0
HP,Notebook,13.3,4,Intel HD Graphics 620,1.32kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.32,186465.0
Acer,Notebook,17.3,4,Nvidia GeForce MX130,3kg,1920x1080,1,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,3.0,174727.8
Lenovo,Notebook,14.0,8,AMD Radeon RX 550,1.75kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.75,297709.2
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050M,2.4kg,1920x1080,1,0,0,0,2.8,1,0,256GB,NaN,SSD,NaN,No OS,2.4,231814.19999999998
Toshiba,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.3,1,0,500GB,NaN,HDD,NaN,Windows - 10,2.1,160589.4
HP,Notebook,15.6,4,AMD Radeon R4 Graphics,1.86kg,1366x768,0,0,0,0,2.5,0,1,256GB,NaN,SSD,NaN,Windows - 10,1.86,98434.2
Asus,Ultrabook,14.0,8,Intel UHD Graphics 620,1.25kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.25,293169.0
HP,Ultrabook,12.5,8,Intel HD Graphics 515,0.97kg,3840x2160,1,0,1,0,1.2,1,0,512GB,NaN,SSD,NaN,Windows - 10,0.97,53725.2
Asus,Notebook,15.6,4,Intel HD Graphics 500,2kg,1920x1080,0,0,0,0,1.1,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.0,91765.2
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,2.9kg,1920x1080,0,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.9,54125.4
Acer,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.1,119241.59999999999
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1050,2.56kg,1920x1080,0,0,0,0,2.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,2.56,33325.2
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.62kg,1920x1080,0,0,0,0,2.8,1,0,1TB,NaN,Hybrid,NaN,Windows - 10,2.62,239817.0
Lenovo,Notebook,15.6,4,Intel HD Graphics 620,1.9kg,1366x768,0,0,0,0,2.5,1,0,128GB,NaN,SSD,NaN,Windows - 10,1.9,132846.3
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1060,2.8kg,1920x1080,0,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.8,50417.4
